Matricula 31087: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31091: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31093: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31100: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31113: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31119: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31125: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31129: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31139: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31143: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31152: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 31153: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 31154: dias=22, valor_diario=35.0, total=770.0 (reason=calc_from_total) obs=
Matricula 31159: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
Matricula 31162: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31170: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31171: dias=21, valor_diario=35.0, total=735.0 (reason=calc_from_total) obs=
Matricula 31183: dias=22, valor_diario=37.5, total=825.0 (reason=calc_from_total) obs=
